종목코드,종목명,가격,순자산,거래량,종목명,시총(억),거래소명,시장,자산군,투자자산,자산종류상세,퇴직연금 투자한도(70%)
A102780,KODEX 삼성그룹,9995,9993,242373,2422,17471,KRX,국내,주식,ETF,SmartBeta,0.7
A364960,TIGER KRX BBIG K-뉴딜,12450,12473,314225,3919,4563,KRX,국내,주식,ETF,SmartBeta,0.7
A364980,TIGER KRX2차전지K-뉴딜,16275,16269,814419,13305,8129,KRX,국내,주식,ETF,SmartBeta,0.7
A305720,KODEX 2차전지산업,18980,18976,1258080,24004,11863,KRX,국내,주식,ETF,SmartBeta,0.7
A219390,KBSTAR 미국S&P원유생산기업(합성 H),3720,,378596,1402,742,KRX,미국,주식,ETF,SmartBeta,0.7
A195980,ARIRANG 신흥국MSCI(합성 H),13070,,59544,783,687,KRX,신흥,주식,ETF,Large,0.7
A283580,KODEX 중국본토CSI300,14610,,294526,4312,964,KRX,중국,주식,ETF,Large,0.7
A245360,TIGER 차이나HSCEI,13335,,23410,313,760,KRX,중국,주식,ETF,Large,0.7
A298770,KODEX 한국대만IT프리미어,19990,,124928,2501,1039,KRX,신흥,주식,ETF,SmartBeta,0.7
A371470,TIGER 차이나바이오테크SOLACTIVE,11700,,95100,1117,763,KRX,중국,주식,ETF,SmartBeta,0.7
A195930,TIGER 유로스탁스50(합성 H),12400,,28299,351,868,KRX,유럽,주식,ETF,Large,0.7
A372330,KODEX 차이나항셍테크,11200,,507489,5741,1053,KRX,중국,주식,ETF,SmartBeta,0.7
A251350,KODEX 선진국MSCI World,17145,,529459,9069,3395,KRX,선진,주식,ETF,Large,0.7
A192090,TIGER 차이나CSI300,12085,,317872,3858,3118,KRX,중국,주식,ETF,Large,0.7
A275980,TIGER 글로벌4차산업혁신기술(합성 H),17260,,110081,1896,2537,KRX,글로벌,주식,ETF,SmartBeta,0.7
A168580,KINDEX 중국본토CSI300,32300,,5944,192,2132,KRX,중국,주식,ETF,Large,0.7
A245710,KINDEX 베트남VN30(합성),16595,,229136,3859,1908,KRX,베트남,주식,ETF,Large,0.7
A360750,TIGER 미국S&P500,10800,,223600,2415,1523,KRX,미국,주식,ETF,Large,0.7
A133690,TIGER 미국나스닥100,63665,,186708,11885,6239,KRX,미국,주식,ETF,SmartBeta,0.7
A367380,KINDEX 미국나스닥100,10920,,299717,3271,1256,KRX,미국,주식,ETF,SmartBeta,0.7
A360200,KINDEX 미국S&P500,10865,,176802,1921,1304,KRX,미국,주식,ETF,Large,0.7
A371460,TIGER 차이나전기차SOLACTIVE,11170,,2357466,26667,6152,KRX,중국,주식,ETF,SmartBeta,0.7
A314250,KODEX 미국FANG플러스(H),26340,,688765,18088,4596,KRX,미국,주식,ETF,SmartBeta,0.7
A371160,TIGER 차이나항셍테크,11175,,356843,4040,1363,KRX,중국,주식,ETF,SmartBeta,0.7
A371450,TIGER 글로벌클라우드컴퓨팅INDXX,10295,,90428,930,387,KRX,글로벌,주식,ETF,SmartBeta,0.7
A169950,KODEX 중국본토 A50,24255,,21721,527,364,KRX,중국,주식,ETF,Large,0.7
A099140,KODEX China H,22650,,7098,162,340,KRX,중국,주식,ETF,Large,0.7
A256750,KODEX 심천ChiNext(합성),12620,,59520,756,656,KRX,중국,주식,ETF,SmartBeta,0.7
A174360,KBSTAR 중국본토대형주CSI100,23090,,33488,778,670,KRX,중국,주식,ETF,Large,0.7
A245340,TIGER 미국다우존스30,17685,,18258,322,460,KRX,미국,주식,ETF,Large,0.7
A148070,KOSEF 국고채10년,120650,120695,4710,567,1967,KRX,국내,채권,ETF,LongD,1
A153130,KODEX 단기채권,102735,102733,4901,503,19148,KRX,국내,채권,ETF,Money,1
A273130,KODEX 종합채권(AA-이상)액티브,109125,109116,2978,324,14455,KRX,국내,채권,ETF,LongD,1
A214980,KODEX 단기채권PLUS,103005,103008,19329,1990,9954,KRX,국내,채권,ETF,Money,1
A302190,TIGER 중장기국채,52365,52321,25413,1330,901,KRX,국내,채권,ETF,LongD,1
A114260,KODEX 국고채3년,58120,58104,6109,354,907,KRX,국내,채권,ETF,ShortD,1
A130730,KOSEF 단기자금,100970,100968,211753,21380,486,KRX,국내,채권,ETF,Money,1
A122260,KOSEF 통안채1년,101170,101173,193096,19536,475,KRX,국내,채권,ETF,ShortD,1
A329750,TIGER 미국달러단기채권액티브,9645,,78822,760,378,KRX,미국,채권,ETF,Money,1
A196230,KBSTAR 단기통안채,104325,104325,388477,40527,1847,KRX,국내,채권,ETF,Money,1
