date,userid,name,asset_class,itemcode,itemname,quantity,cost_price,cost_value,price,value,wt,group_by,original
5/3/2021,A007,적극투자형소규모,Equity,A266370,KODEX IT,4,20760,83040,20760,83040,0.11862857,,Rebal
5/3/2021,A007,적극투자형소규모,Equity,A292150,TIGER TOP10,4,14305,57220,14305,57220,0.08174286,,Rebal
5/3/2021,A007,적극투자형소규모,Fixed Income,A114260,KODEX 국고채3년,1,58040,58040,58040,58040,0.082914285,,Rebal
5/3/2021,A007,적극투자형소규모,Cash,C000001,현금,1220,1,1220,1,1220,0.0017428572,,Rebal
5/3/2021,A008,적극투자형중규모,Equity,A157490,TIGER 소프트웨어,14,16730,234220,16730,234220,0.23422,,Rebal
5/3/2021,A008,적극투자형중규모,Alternative,A237370,KODEX 배당성장채권혼합,20,12060,241200,12060,241200,0.2412,,Rebal
5/3/2021,A008,적극투자형중규모,Equity,A278540,KODEX MSCI Korea TR,17,13695,232815,13695,232815,0.232815,,Rebal
5/3/2021,A008,적극투자형중규모,Equity,A266370,KODEX IT,7,20760,145320,20760,145320,0.14532,,Rebal
5/3/2021,A008,적극투자형중규모,Equity,A292150,TIGER TOP10,6,14305,85830,14305,85830,0.08583,,Rebal
5/3/2021,A008,적극투자형중규모,Fixed Income,A114260,KODEX 국고채3년,1,58040,58040,58040,58040,0.05804,,Rebal
5/3/2021,A008,적극투자형중규모,Cash,C000001,현금,2575,1,2575,1,2575,0.002575,,Rebal
5/3/2021,A009,적극투자형대규모,Equity,A157490,TIGER 소프트웨어,18,16730,301140,16730,301140,0.23164615,,Rebal
5/3/2021,A009,적극투자형대규모,Alternative,A237370,KODEX 배당성장채권혼합,25,12060,301500,12060,301500,0.23192307,,Rebal
5/3/2021,A009,적극투자형대규모,Equity,A278540,KODEX MSCI Korea TR,23,13695,314985,13695,314985,0.24229616,,Rebal
5/3/2021,A009,적극투자형대규모,Equity,A266370,KODEX IT,8,20760,166080,20760,166080,0.12775384,,Rebal
5/3/2021,A009,적극투자형대규모,Equity,A292150,TIGER TOP10,7,14305,100135,14305,100135,0.077026926,,Rebal
5/3/2021,A009,적극투자형대규모,Fixed Income,A114260,KODEX 국고채3년,2,58040,116080,58040,116080,0.08929231,,Rebal
5/3/2021,A009,적극투자형대규모,Cash,C000001,현금,80,1,80,1,80,0.00006153846,,Rebal
